Country,2000_value,2001_value,2002_value,2003_value,2004_value,2005_value,2006_value,2007_value,2008_value,2009_value,2010_value,2011_value,2012_value,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value
Peru,0,,0.14,0.34,0.82,1.27,1.73,2.01,2.54,2.87,3.21,4.14,4.89,5.42,5.87,6.56,6.86,7.35,7.93,
Philippines,,0.01,0.03,0.07,0.11,0.14,0.3,0.55,1.15,1.86,,1.87,2.21,2.6,2.89,2.84,2.88,3.23,3.68,3.87
Poland,,0.03,0.32,0.51,2.28,2.46,7.59,10.88,11.63,14.59,15.28,18.21,18.02,18.43,18.99,19.1,19.29,20.11,20.7,20.58
Portugal,0.24,0.96,2.51,4.81,8.01,11.09,13.5,14.44,15.44,18.03,20.07,21.22,22.71,24.48,27.43,30.31,32.69,34.74,36.9,38.8
Puerto Rico,,0.07,0.62,1.49,2.37,3.26,4.15,5.04,11.82,13.35,15.41,15.68,16.21,17.17,17.67,20.83,20.92,20.86,20.04,20.79
Qatar,,,0.04,0.44,1.45,2.96,4.57,7.2,7.39,8.75,7.85,8.09,8.43,9.22,9.17,9.27,9.56,9.42,9.63,10.05
Romania,,0.03,0.07,0.9,0.48,1.76,5.13,9.28,12.09,13.63,14.66,16.14,17.51,18.83,20.05,21.39,22.48,24.19,26.08,27.25
Russian Federation,,,0.01,0.24,0.47,1.11,2.02,3.42,6.48,9,10.94,12.27,14.53,16.45,17.25,18.54,18.95,21.37,22,22.64
Rwanda,,,,,0.01,0.01,0.02,0.03,0.01,0.02,0.04,0.08,0.05,0.03,0.03,0.19,0.19,0.18,0.06,0.07
Réunion,,,,4.12,7.23,,,16.19,19.07,22.46,,,,,,,,,,
Saint Kitts and Nevis,,,1.11,4.37,9.5,13.87,18.59,20.09,23.04,26.75,29.79,25.48,26.06,26.43,27.61,31.98,27.46,56.24,55.82,
Saint Lucia,,,,0.87,2.35,4.28,4.34,6.61,9.13,10.79,11.77,12.16,13.91,13.92,15.82,15.87,16.55,17.59,17.74,
Saint Vincent and the Grenadines,,0.08,1,1.06,1.22,3.36,5.17,7.35,8.64,10.63,11.55,12.23,12.56,13.44,13.52,15.54,19.98,17.55,22.33,19.52
Samoa,,,,,0.02,0.04,0.05,0.07,0.09,0.11,0.11,,0.57,0.65,1.05,1.08,1.11,0.87,,
San Marino,,,,2.1,3.72,4.16,4.98,5.32,16.1,17.67,19.19,20.65,30.84,31.43,35.51,34.99,35.82,31.18,32.14,32.73
Sao Tome and Principe,,,,,,,0.08,0.19,0.2,0.25,0.32,0.4,0.41,0.51,0.56,0.66,0.7,0.71,0.74,0.76
Saudi Arabia,,0.07,0.16,0.2,0.3,0.28,0.89,2.47,4.05,5.4,6.24,6.9,8.71,,,19.97,19.72,20.1,20.24,19.85
Senegal,,,0.01,0.02,0.07,0.16,0.25,0.33,0.39,0.48,0.62,0.71,0.71,0.77,0.73,0.69,0.66,0.73,0.82,0.93
Serbia,,,,,,0.36,1.33,3.58,5.05,6.55,9.56,10.83,11.9,13.16,13.39,14.87,16.39,16.77,17.63,18.5
Seychelles,,,,,0.4,1.07,2.76,3.88,3.78,5.02,7.44,10.24,11.42,13.29,12.55,14.13,14.66,15.79,20.29,27.6
Sierra Leone,,,,,,,,,,,,,,,,,,,,
Singapore,1.71,3.7,6.58,10.1,13.05,15.38,17.9,20.22,22.43,24.84,26.08,26.75,26.68,27.38,26.68,26.58,28.16,25.85,25.94,25.81
Slovakia,,,0.08,0.42,1.46,3.36,5.64,10.13,11.2,14.35,16.23,17.62,19.31,20.46,21.94,23.43,24.56,25.79,27.65,29.05
Slovenia,,0.28,2.85,2.92,5.78,9.86,13.97,17.13,21.02,22.08,23.03,24.1,24.75,25.43,26.88,27.47,28.41,28.98,29.49,30.21
